"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	Suppressed	920175	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	188	3104213	6.1	6.4
	"Barbour County, AL"	"01005"	Suppressed	499605	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	12	397480	Unreliable	Unreliable
	"Blount County, AL"	"01009"	47	997776	4.7	5.0
	"Bullock County, AL"	"01011"	Suppressed	197584	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	373621	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	12	2074478	Unreliable	Unreliable
	"Chambers County, AL"	"01017"	Suppressed	628932	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	14	455087	Unreliable	Unreliable
	"Chilton County, AL"	"01021"	16	762939	Unreliable	Unreliable
	"Choctaw County, AL"	"01023"	Suppressed	258321	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	472909	Suppressed	Suppressed
	"Clay County, AL"	"01027"	Suppressed	251003	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	263729	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	14	857552	Unreliable	Unreliable
	"Colbert County, AL"	"01033"	Suppressed	980863	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	11	240060	Unreliable	Unreliable
	"Coosa County, AL"	"01037"	Suppressed	204784	Suppressed	Suppressed
	"Covington County, AL"	"01039"	Suppressed	675450	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	249207	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	25	1431088	1.7	1.8
	"Dale County, AL"	"01045"	14	891572	Unreliable	Unreliable
	"Dallas County, AL"	"01047"	Suppressed	790398	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	29	1237877	2.3	2.4
	"Elmore County, AL"	"01051"	13	1354531	Unreliable	Unreliable
	"Escambia County, AL"	"01053"	71	683449	10.4	10.2
	"Etowah County, AL"	"01055"	32	1864778	1.7	1.9
	"Fayette County, AL"	"01057"	Suppressed	316518	Suppressed	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	564069	Suppressed	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	473180	Suppressed	Suppressed
	"Greene County, AL"	"01063"	Suppressed	167230	Suppressed	Suppressed
	"Hale County, AL"	"01065"	Suppressed	292223	Suppressed	Suppressed
	"Henry County, AL"	"01067"	Suppressed	304556	Suppressed	Suppressed
	"Houston County, AL"	"01069"	31	1750954	1.8	1.9
	"Jackson County, AL"	"01071"	Suppressed	959194	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	1003	11854635	8.5	8.5
	"Lamar County, AL"	"01075"	Suppressed	266678	Suppressed	Suppressed
	"Lauderdale County, AL"	"01077"	21	1632135	1.3	1.4
	"Lawrence County, AL"	"01079"	13	614698	Unreliable	Unreliable
	"Lee County, AL"	"01081"	18	2418094	Unreliable	Unreliable
	"Limestone County, AL"	"01083"	24	1404371	1.7	1.7
	"Lowndes County, AL"	"01085"	Suppressed	214208	Suppressed	Suppressed
	"Macon County, AL"	"01087"	Suppressed	391167	Suppressed	Suppressed
	"Madison County, AL"	"01089"	68	5712479	1.2	1.2
	"Marengo County, AL"	"01091"	Suppressed	382442	Suppressed	Suppressed
	"Marion County, AL"	"01093"	Suppressed	551156	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	1608450	Suppressed	Suppressed
	"Mobile County, AL"	"01097"	321	7321586	4.4	4.5
	"Monroe County, AL"	"01099"	Suppressed	417677	Suppressed	Suppressed
	"Montgomery County, AL"	"01101"	27	4070088	0.7	0.7
	"Morgan County, AL"	"01103"	26	2091395	1.2	1.3
	"Perry County, AL"	"01105"	Suppressed	193471	Suppressed	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	364128	Suppressed	Suppressed
	"Pike County, AL"	"01109"	Suppressed	569863	Suppressed	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	407079	Suppressed	Suppressed
	"Russell County, AL"	"01113"	17	954636	Unreliable	Unreliable
	"St. Clair County, AL"	"01115"	63	1394254	4.5	4.5
	"Shelby County, AL"	"01117"	169	3251987	5.2	5.1
	"Sumter County, AL"	"01119"	Suppressed	250527	Suppressed	Suppressed
	"Talladega County, AL"	"01121"	20	1464637	1.4	1.4
	"Tallapoosa County, AL"	"01123"	17	742735	Unreliable	Unreliable
	"Tuscaloosa County, AL"	"01125"	87	3331999	2.6	2.9
	"Walker County, AL"	"01127"	98	1220606	8.0	8.4
	"Washington County, AL"	"01129"	Suppressed	314819	Suppressed	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	216970	Suppressed	Suppressed
	"Winston County, AL"	"01133"	Suppressed	440476	Suppressed	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	53450	Suppressed	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	100530	Suppressed	Suppressed
	"Anchorage Borough, AK"	"02020"	380	5086641	7.5	7.1
	"Bethel Census Area, AK"	"02050"	Suppressed	305095	Suppressed	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	19316	Suppressed	Suppressed
